parameterization,excitation,run,t,sigma,Fx
1,const,1,0,0.02,0
1,const,1,0.001,0.02,11.8754763765426
1,const,1,0.002,0.02,23.6375328547147
1,const,1,0.003,0.02,35.2433061825013
1,const,1,0.004,0.02,46.6945758781851
1,const,1,0.005,0.02,57.9931477517129
1,const,1,0.006,0.02,69.1408252920484
1,const,1,0.007,0.02,80.1394049732967
1,const,1,0.008,0.02,90.9906745986182
1,const,1,0.009,0.02,101.696412352428
1,const,1,0.01,0.02,112.258386092842
1,const,1,0.011,0.02,122.678352755346
1,const,1,0.012,0.02,132.958057823547
1,const,1,0.013,0.02,143.099234849034
1,const,1,0.014,0.02,153.103605011777
1,const,1,0.015,0.02,162.972876716268
1,const,1,0.016,0.02,172.708745220303
1,const,1,0.017,0.02,182.312892294144
1,const,1,0.018,0.02,191.786985908206
1,const,1,0.019,0.02,201.132679947693
1,const,1,0.02,0.02,210.351613952754
1,const,1,0.021,0.02,219.445412882858
1,const,1,0.022,0.02,228.415686904147
1,const,1,0.023,0.02,237.264031198614
1,const,1,0.024,0.02,245.992025794011
1,const,1,0.025,0.02,254.601235413433
1,const,1,0.026,0.02,263.093209343568
1,const,1,0.027,0.02,271.46948132068
1,const,1,0.028,0.02,279.73156943338
1,const,1,0.029,0.02,287.880976041333
1,const,1,0.03,0.02,295.919187709046
1,const,1,0.031,0.02,303.847675153939
1,const,1,0.032,0.02,311.667893207929
1,const,1,0.033,0.02,319.381280791803
1,const,1,0.034,0.02,326.989260901645
1,const,1,0.035,0.02,334.493240606681
1,const,1,0.036,0.02,341.89461105787
1,const,1,0.037,0.02,349.194747506639
1,const,1,0.038,0.02,356.39500933316
1,const,1,0.039,0.02,363.496740083625
1,const,1,0.04,0.02,370.501267515958
1,const,1,0.041,0.02,377.409903653476
1,const,1,0.042,0.02,384.223944845979
1,const,1,0.043,0.02,390.944671837824
1,const,1,0.044,0.02,397.573349842532
1,const,1,0.045,0.02,404.111228623487
1,const,1,0.046,0.02,410.559542580337
1,const,1,0.047,0.02,416.919510840705
1,const,1,0.048,0.02,423.192337356833
1,const,1,0.049,0.02,429.379211006815
1,const,1,0.05,0.02,435.481305700085
1,const,1,0.051,0.02,441.499780486832
1,const,1,0.052,0.02,447.435779671044
1,const,1,0.053,0.02,453.290432926891
1,const,1,0.054,0.02,459.064855418182
1,const,1,0.055,0.02,464.760147920608
1,const,1,0.056,0.02,470.377396946556
1,const,1,0.057,0.02,475.917674872232
1,const,1,0.058,0.02,481.382040066886
1,const,1,0.059,0.02,486.771537023914
1,const,1,0.06,0.02,492.087196493648
1,const,1,0.061,0.02,497.330035617632
1,const,1,0.062,0.02,502.501058064204
1,const,1,0.063,0.02,507.601254165226
1,const,1,0.064,0.02,512.631601053777
1,const,1,0.065,0.02,517.59306280268
1,const,1,0.066,0.02,522.486590563693
1,const,1,0.067,0.02,527.313122707248
1,const,1,0.068,0.02,532.073584962597
1,const,1,0.069,0.02,536.768890558243
1,const,1,0.07,0.02,541.399940362545
1,const,1,0.071,0.02,545.967623024382
1,const,1,0.072,0.02,550.472815113783
1,const,1,0.073,0.02,554.916381262417
1,const,1,0.074,0.02,559.299174303853
1,const,1,0.075,0.02,563.622035413517
1,const,1,0.076,0.02,567.885794248244
1,const,1,0.077,0.02,572.091269085379
1,const,1,0.078,0.02,576.239266961323
1,const,1,0.079,0.02,580.330583809494
1,const,1,0.08,0.02,584.366004597604
1,const,1,0.081,0.02,588.346303464237
1,const,1,0.082,0.02,592.272243854632
1,const,1,0.083,0.02,596.144578655654
1,const,1,0.084,0.02,599.964050329888
1,const,1,0.085,0.02,603.731391048826
1,const,1,0.086,0.02,607.447322825093
1,const,1,0.087,0.02,611.112557643692
1,const,1,0.088,0.02,614.727797592224
1,const,1,0.089,0.02,618.293734990047
1,const,1,0.09,0.02,621.811052516366
1,const,1,0.091,0.02,625.280423337209
1,const,1,0.092,0.02,628.702511231265
1,const,1,0.093,0.02,632.077970714586
1,const,1,0.094,0.02,635.407447164106
1,const,1,0.095,0.02,638.691576939971
1,const,1,0.096,0.02,641.930987506674
1,const,1,0.097,0.02,645.12629755297
1,const,1,0.098,0.02,648.278117110554
1,const,1,0.099,0.02,651.387047671517
1,const,1,0.1,0.02,654.453682304539
1,const,1,0.101,0.02,657.478605769838
1,const,1,0.102,0.02,660.462394632851
1,const,1,0.103,0.02,663.405617376661
1,const,1,0.104,0.02,666.308834513144
1,const,1,0.105,0.02,669.172598692857
1,const,1,0.106,0.02,671.997454813642
1,const,1,0.107,0.02,674.783940127975
1,const,1,0.108,0.02,677.532584349028
1,const,1,0.109,0.02,680.243909755472
1,const,1,0.11,0.02,682.918431295014
1,const,1,0.111,0.02,685.556656686665
1,const,1,0.112,0.02,688.15908652175
1,const,1,0.113,0.02,690.726214363674
1,const,1,0.114,0.02,693.258526846421
1,const,1,0.115,0.02,695.756503771827
1,const,1,0.116,0.02,698.220618205607
1,const,1,0.117,0.02,700.651336572155
1,const,1,0.118,0.02,703.049118748121
1,const,1,0.119,0.02,705.414418154777
1,const,1,0.12,0.02,707.747681849177
1,const,1,0.121,0.02,710.049350614111
1,const,1,0.122,0.02,712.319859046888
1,const,1,0.123,0.02,714.559635646925
1,const,1,0.124,0.02,716.769102902177
1,const,1,0.125,0.02,718.948677374401
1,const,1,0.126,0.02,721.098769783278
1,const,1,0.127,0.02,723.219785089394
1,const,1,0.128,0.02,725.312122576095
1,const,1,0.129,0.02,727.37617593022
1,const,1,0.13,0.02,729.412333321735
1,const,1,0.131,0.02,731.420977482273
1,const,1,0.132,0.02,733.402485782584
1,const,1,0.133,0.02,735.357230308918
1,const,1,0.134,0.02,737.285577938346
1,const,1,0.135,0.02,739.187890413039
1,const,1,0.136,0.02,741.064524413494
1,const,1,0.137,0.02,742.915831630753
1,const,1,0.138,0.02,744.742158837594
1,const,1,0.139,0.02,746.54384795873
1,const,1,0.14,0.02,748.321236140009
1,const,1,0.141,0.02,750.074655816643
1,const,1,0.142,0.02,751.804434780465
1,const,1,0.143,0.02,753.510896246233
1,const,1,0.144,0.02,755.194358916995
1,const,1,0.145,0.02,756.85513704851
1,const,1,0.146,0.02,758.493540512767
1,const,1,0.147,0.02,760.109874860578
1,const,1,0.148,0.02,761.704441383288
1,const,1,0.149,0.02,763.277537173593
1,const,1,0.15,0.02,764.829455185484
1,const,1,0.151,0.02,766.360484293336
1,const,1,0.152,0.02,767.870909350134
1,const,1,0.153,0.02,769.361011244873
1,const,1,0.154,0.02,770.83106695912
1,const,1,0.155,0.02,772.281349622763
1,const,1,0.156,0.02,773.712128568953
1,const,1,0.157,0.02,775.123669388248
1,const,1,0.158,0.02,776.516233981981
1,const,1,0.159,0.02,777.890080614845
1,const,1,0.16,0.02,779.245463966719
1,const,1,0.161,0.02,780.582635183742
1,const,1,0.162,0.02,781.901841928646
1,const,1,0.163,0.02,783.203328430354
1,const,1,0.164,0.02,784.487335532861
1,const,1,0.165,0.02,785.754100743402
1,const,1,0.166,0.02,787.003858279916
1,const,1,0.167,0.02,788.236839117827
1,const,1,0.168,0.02,789.453271036134
1,const,1,0.169,0.02,790.653378662834
1,const,1,0.17,0.02,791.837383519689
1,const,1,0.171,0.02,793.005504066329
1,const,1,0.172,0.02,794.15795574372
1,const,1,0.173,0.02,795.294951016996
1,const,1,0.174,0.02,796.416699417667
1,const,1,0.175,0.02,797.523407585212
1,const,1,0.176,0.02,798.615279308063
1,const,1,0.177,0.02,799.692515563993
1,const,1,0.178,0.02,800.755314559918
1,const,1,0.179,0.02,801.803871771112
1,const,1,0.18,0.02,802.838379979856
1,const,1,0.181,0.02,803.859029313522
1,const,1,0.182,0.02,804.866007282099
1,const,1,0.183,0.02,805.859498815178
1,const,1,0.184,0.02,806.83968629839
1,const,1,0.185,0.02,807.80674960932
1,const,1,0.186,0.02,808.760866152897
1,const,1,0.187,0.02,809.702210896262
1,const,1,0.188,0.02,810.630956403139
1,const,1,0.189,0.02,811.547272867697
1,const,1,0.19,0.02,812.451328147921
1,const,1,0.191,0.02,813.343287798501
1,const,1,0.192,0.02,814.223315103241
1,const,1,0.193,0.02,815.091571106994
1,const,1,0.194,0.02,815.948214647139
1,const,1,0.195,0.02,816.793402384591
1,const,1,0.196,0.02,817.627288834374
1,const,1,0.197,0.02,818.450026395738
1,const,1,0.198,0.02,819.261765381846
1,const,1,0.199,0.02,820.062654049028
1,const,1,0.2,0.02,820.852838625611
1,const,1,0.201,0.02,821.632463340333
1,const,1,0.202,0.02,822.401670450344
1,const,1,0.203,0.02,823.160600268798
1,const,1,0.204,0.02,823.909391192057
1,const,1,0.205,0.02,824.648179726486
1,const,1,0.206,0.02,825.377100514874
1,const,1,0.207,0.02,826.096286362466
1,const,1,0.208,0.02,826.805868262623
1,const,1,0.209,0.02,827.505975422105
1,const,1,0.21,0.02,828.196735286001
1,const,1,0.211,0.02,828.878273562285
1,const,1,0.212,0.02,829.550714246033
1,const,1,0.213,0.02,830.214179643279
1,const,1,0.214,0.02,830.868790394532
1,const,1,0.215,0.02,831.514665497961
1,const,1,0.216,0.02,832.151922332233
1,const,1,0.217,0.02,832.78067667904
1,const,1,0.218,0.02,833.401042745281
1,const,1,0.219,0.02,834.013133184951
1,const,1,0.22,0.02,834.617059120692
1,const,1,0.221,0.02,835.212930165054
1,const,1,0.222,0.02,835.800854441435
1,const,1,0.223,0.02,836.380938604737
1,const,1,0.224,0.02,836.953287861714
1,const,1,0.225,0.02,837.518005991035
1,const,1,0.226,0.02,838.075195363059
1,const,1,0.227,0.02,838.624956959327
1,const,1,0.228,0.02,839.167390391774
1,const,1,0.229,0.02,839.702593921675
1,const,1,0.23,0.02,840.230664478307
1,const,1,0.231,0.02,840.751697677358
1,const,1,0.232,0.02,841.265787839067
1,const,1,0.233,0.02,841.773028006107
1,const,1,0.234,0.02,842.273509961212
1,const,1,0.235,0.02,842.767324244562
1,const,1,0.236,0.02,843.254560170905
1,const,1,0.237,0.02,843.735305846453
1,const,1,0.238,0.02,844.209648185524
1,const,1,0.239,0.02,844.677672926961
1,const,1,0.24,0.02,845.139464650305
1,const,1,0.241,0.02,845.595106791751
1,const,1,0.242,0.02,846.044681659866
1,const,1,0.243,0.02,846.488270451099
1,const,1,0.244,0.02,846.925953265058
1,const,1,0.245,0.02,847.357809119579
1,const,1,0.246,0.02,847.783915965581
1,const,1,0.247,0.02,848.204350701707
1,const,1,0.248,0.02,848.619189188765
1,const,1,0.249,0.02,849.028506263961
1,const,1,0.25,0.02,849.432375754935
1,const,1,0.251,0.02,849.830870493591
1,const,1,0.252,0.02,850.224062329746
1,const,1,0.253,0.02,850.612022144573
1,const,1,0.254,0.02,850.994819863865
1,const,1,0.255,0.02,851.372524471107
1,const,1,0.256,0.02,851.74520402037
1,const,1,0.257,0.02,852.112925649013
1,const,1,0.258,0.02,852.475755590224
1,const,1,0.259,0.02,852.833759185367
1,const,1,0.26,0.02,853.187000896171
1,const,1,0.261,0.02,853.535544316737
1,const,1,0.262,0.02,853.879452185384
1,const,1,0.263,0.02,854.218786396328
1,const,1,0.264,0.02,854.553608011194
1,const,1,0.265,0.02,854.883977270374
1,const,1,0.266,0.02,855.209953604218
1,const,1,0.267,0.02,855.531595644075
1,const,1,0.268,0.02,855.84896123318
1,const,1,0.269,0.02,856.162107437387
1,const,1,0.27,0.02,856.471090555747
1,const,1,0.271,0.02,856.775966130954
1,const,1,0.272,0.02,857.076788959629
1,const,1,0.273,0.02,857.373613102471
1,const,1,0.274,0.02,857.666491894261
1,const,1,0.275,0.02,857.955477953735
1,const,1,0.276,0.02,858.240623193311
1,const,1,0.277,0.02,858.521978828683
1,const,1,0.278,0.02,858.799595388289
1,const,1,0.279,0.02,859.073522722636
1,const,1,0.28,0.02,859.343810013506
1,const,1,0.281,0.02,859.610505783029
1,const,1,0.282,0.02,859.873657902632
1,const,1,0.283,0.02,860.133313601863
1,const,1,0.284,0.02,860.389519477095
1,const,1,0.285,0.02,860.642321500104
1,const,1,0.286,0.02,860.891765026541
1,const,1,0.287,0.02,861.137894804271
